,precipitation,potential_evapotranspiration,river_discharge
2017-08-31,23.53,0.8,0.378
2017-09-01,0.0,0.36,0.39
2017-09-02,0.0,2.0,0.221
2017-09-03,0.03,0.98,0.23
2017-09-04,0.34,1.1,0.244
2017-09-05,0.98,1.2,0.231
2017-09-06,0.0,1.16,0.165
2017-09-07,7.22,0.11,0.314
2017-09-08,11.15,1.01,0.912
2017-09-09,0.6,1.38,0.318
2017-09-10,10.78,0.28,0.451
2017-09-11,0.38,1.35,0.423
2017-09-12,2.48,1.35,0.341
2017-09-13,7.03,0.36,0.494
2017-09-14,1.0,1.04,0.435
2017-09-15,0.58,0.5,0.272
2017-09-16,0.0,0.66,0.265
2017-09-17,8.3,0.25,0.286
2017-09-18,5.35,0.86,0.662
2017-09-19,0.0,0.61,0.275
2017-09-20,0.0,1.47,0.25
2017-09-21,0.03,0.87,0.231
2017-09-22,0.0,1.07,0.231
2017-09-23,0.0,1.09,0.225
2017-09-24,0.0,1.31,0.216
2017-09-25,0.0,0.79,0.221
2017-09-26,0.0,0.89,0.229
2017-09-27,1.31,0.47,0.243
2017-09-28,2.29,0.96,0.24
2017-09-29,6.26,0.31,0.662
2017-09-30,0.13,0.91,0.354
2017-10-01,4.69,1.19,0.241
2017-10-02,0.62,0.49,0.517
2017-10-03,0.0,0.76,0.264
2017-10-04,2.11,0.81,0.294
2017-10-05,0.83,0.43,0.34
2017-10-06,4.96,0.34,0.337
2017-10-07,0.03,0.65,0.519
2017-10-08,0.12,0.54,0.305
2017-10-09,0.03,0.5,0.287
2017-10-10,0.0,1.01,0.274
2017-10-11,0.0,0.42,0.261
2017-10-12,0.14,0.56,0.255
2017-10-13,0.0,0.22,0.26
2017-10-14,0.0,0.48,0.262
2017-10-15,0.09,0.92,0.27
2017-10-16,0.0,0.12,0.239
2017-10-17,0.0,0.33,0.245
2017-10-18,1.52,0.95,0.286
2017-10-19,4.71,0.61,0.512
2017-10-20,2.43,0.88,0.374
2017-10-21,9.84,0.45,0.865
2017-10-22,0.47,0.32,0.336
2017-10-23,0.24,0.14,0.348
2017-10-24,0.03,0.09,0.322
2017-10-25,2.95,0.11,0.305
2017-10-26,0.21,0.3,0.389
2017-10-27,0.0,0.29,0.314
2017-10-28,1.33,0.51,0.387
2017-10-29,0.05,0.27,0.319
2017-10-30,0.0,0.38,0.321
2017-10-31,0.0,0.57,0.241
2017-11-01,0.0,0.09,0.337
2017-11-02,0.0,0.25,0.282
2017-11-03,1.04,0.0,0.286
2017-11-04,3.99,0.03,0.514
2017-11-05,3.29,0.23,0.544
2017-11-06,0.0,0.21,0.332
2017-11-07,0.36,0.22,0.335
2017-11-08,0.16,0.31,0.374
2017-11-09,2.4,0.02,0.375
2017-11-10,3.97,0.13,0.572
2017-11-11,12.56,0.29,0.996
2017-11-12,4.17,0.0,1.08
2017-11-13,0.0,0.29,0.485
2017-11-14,0.12,0.16,0.431
2017-11-15,0.54,0.13,0.384
2017-11-16,0.18,0.01,0.379
2017-11-17,2.14,0.32,0.381
2017-11-18,0.0,0.0,0.427
2017-11-19,10.09,0.05,0.51
2017-11-20,5.99,0.19,1.3
2017-11-21,0.0,0.83,0.61
2017-11-22,1.58,1.01,0.509
2017-11-23,14.36,0.12,1.16
2017-11-24,2.27,0.05,1.45
2017-11-25,0.04,0.0,0.73
2017-11-26,16.17,0.0,1.94
2017-11-27,0.17,0.0,1.42
2017-11-28,9.63,0.02,1.55
2017-11-29,15.8,0.09,2.6
2017-11-30,0.0,0.05,1.84
2017-12-01,0.0,0.18,1.0
2017-12-02,1.82,0.13995855614973263,0.851
2017-12-03,0.19,0.05,0.91
2017-12-04,0.0,0.22,0.739
2017-12-05,0.0,0.23,0.671
2017-12-06,5.41,0.07,0.878
2017-12-07,0.76,0.0,1.02
2017-12-08,0.57,0.09,0.728
2017-12-09,16.22,0.02,2.84
2017-12-10,28.28,0.0,4.02
2017-12-11,6.92,0.0,4.04
2017-12-12,14.62,0.0,8.53
2017-12-13,2.95,0.0,8.61
2017-12-14,0.69,0.0,3.11
2017-12-15,4.28,0.0,2.17
2017-12-16,4.46,0.11,1.61
2017-12-17,0.94,0.0,2.25
2017-12-18,0.0,0.06,1.49
2017-12-19,0.77,0.11807916348357525,1.31
2017-12-20,3.31,0.11141520244461421,1.32
2017-12-21,0.94,0.11516520244461419,1.44
2017-12-22,0.03,0.0,1.25
2017-12-23,0.0,0.19,1.15
2017-12-24,0.07,0.31,1.06
2017-12-25,3.22,0.21,1.18
2017-12-26,5.43,0.19,1.64
2017-12-27,0.0,0.0,1.77
2017-12-28,4.78,0.0,1.69
2017-12-29,5.73,0.31,1.98
2017-12-30,17.74,0.0,7.1
2017-12-31,6.24,0.0,5.58
2018-01-01,3.81,0.03,3.61
2018-01-02,12.13,0.88,6.53
2018-01-03,6.63,0.26,3.74
2018-01-04,1.95,0.0,2.87
2018-01-05,0.16,0.08,2.01
2018-01-06,0.0,0.62,1.6
2018-01-07,0.0,0.38,1.4
2018-01-08,0.0,0.07,1.3
2018-01-09,5.0,0.0,1.74
2018-01-10,0.41,0.1,1.45
2018-01-11,0.0,0.06,1.23
2018-01-12,0.0,0.04,1.19
2018-01-13,0.0,0.0,1.11
2018-01-14,10.52,0.0,1.84
2018-01-15,0.58,0.32,2.69
2018-01-16,0.0,0.54,1.52
2018-01-17,6.2,0.49,1.64
2018-01-18,1.54,0.0,1.93
2018-01-19,5.34,0.0,2.12
2018-01-20,7.59,0.04,2.15
2018-01-21,1.08,0.05,3.88
2018-01-22,0.1,0.1,1.97
2018-01-23,3.12,0.74,1.7
2018-01-24,0.53,0.0,1.91
2018-01-25,0.0,0.0,1.48
2018-01-26,0.47,0.23,1.3
2018-01-27,0.16,0.23,1.27
2018-01-28,1.07,0.3,1.19
2018-01-29,0.03,0.11,1.19
2018-01-30,8.35,0.0,2.12
2018-01-31,2.03,0.16,1.9
2018-02-01,6.61,0.0,3.01
2018-02-02,2.71,0.08,2.38
2018-02-03,0.46,0.86,1.91
2018-02-04,0.03,0.51,1.55
2018-02-05,0.0,0.34,1.36
2018-02-06,0.0,0.63,1.23
2018-02-07,0.0,0.49,1.12
2018-02-08,2.14,0.34,1.12
2018-02-09,3.8,0.69,1.65
2018-02-10,3.57,0.5,1.95
2018-02-11,0.0,0.47,1.63
2018-02-12,0.0,1.14,1.38
2018-02-13,0.88,1.08,1.23
2018-02-14,2.55,0.32,1.6
2018-02-15,0.0,0.21,1.26
2018-02-16,0.0,0.48,1.18
2018-02-17,0.0,0.52,1.11
2018-02-18,0.87,0.17,1.07
2018-02-19,0.0,0.45,1.04
2018-02-20,0.0,0.49,0.964
2018-02-21,0.0,1.3,0.973
2018-02-22,0.0,1.43,0.905
2018-02-23,0.0,2.85,0.857
2018-02-24,0.0,2.34,0.826
2018-02-25,0.0,1.44,0.783
2018-02-26,0.0,1.37,0.765
2018-02-27,0.0,2.2,0.745
2018-02-28,0.0,4.04,0.742
2018-03-01,1.19,1.85,0.768
2018-03-02,0.07,0.84,0.786
2018-03-03,5.54,0.33,0.977
2018-03-04,0.0,0.58,1.08
2018-03-05,0.0,0.69,0.904
2018-03-06,3.41,0.12,1.01
2018-03-07,5.71,0.45,1.39
2018-03-08,2.24,0.27,1.16
2018-03-09,1.72,0.16,1.32
2018-03-10,20.86,1.03,7.93
2018-03-11,2.71,0.67,3.39
2018-03-12,3.73,0.0,2.86
2018-03-13,0.0,1.1604801693404634,2.04
2018-03-14,3.05,1.1864260249554368,1.95
2018-03-15,0.73,1.1938591800356506,1.88
2018-03-16,0.11,1.2444407308377898,1.5
2018-03-17,0.15,1.2944507575757578,1.31
2018-03-18,0.0,1.3316098484848486,1.15
2018-03-19,0.25,1.4128030303030306,1.01
2018-03-20,0.0,1.447007575757576,1.0
2018-03-21,5.11,1.5093939393939395,1.42
2018-03-22,0.0,1.5326704545454546,1.29
2018-03-23,0.0,1.579034090909091,1.11
2018-03-24,0.0,1.6223295454545452,0.995
2018-03-25,0.0,1.65375,0.955
2018-03-26,7.47,1.7350227272727274,1.24
2018-03-27,6.04,1.7907045454545454,1.89
2018-03-28,1.14,1.7931477272727272,1.62
2018-03-29,6.05,1.8090568181818178,1.53
2018-03-30,0.03,1.8048054812834222,1.56
2018-03-31,1.76,1.8275394385026738,1.37
2018-04-01,1.4,1.8260755347593582,1.27
2018-04-02,2.04,1.8291804812834227,1.26
2018-04-03,1.27,1.8319077540106954,1.37
2018-04-04,1.15,0.0,1.21
2018-04-05,0.0,0.49,1.08
2018-04-06,0.0,0.68,1.01
2018-04-07,1.0,0.0,0.996
2018-04-08,2.67,1.8978308823529415,0.927
2018-04-09,0.7,0.14,1.12
2018-04-10,0.0,0.02,1.0
2018-04-11,0.68,2.011875,0.934
2018-04-12,0.0,0.0,0.924
2018-04-13,8.86,0.0,1.07
2018-04-14,1.34,0.0,1.49
2018-04-15,0.0,0.07,1.04
2018-04-16,0.0,1.32,0.935
2018-04-17,0.0,0.19,0.826
2018-04-18,0.0,0.0,0.744
2018-04-19,0.0,2.5334692513368986,0.765
2018-04-20,0.0,2.49769385026738,0.765
2018-04-21,0.18,2.54293449197861,0.726
2018-04-22,0.0,2.5444852941176475,0.705
2018-04-23,0.0,0.13,0.697
2018-04-24,0.38,1.48,0.71
2018-04-25,0.03,2.69,0.673
2018-04-26,0.2,2.26,0.664
2018-04-27,0.04,1.18,0.677
2018-04-28,7.23,0.1,0.814
2018-04-29,11.05,0.8,1.32
2018-04-30,0.56,2.12,1.15
2018-05-01,0.83,3.14,0.754
2018-05-02,0.0,2.9,0.72
2018-05-03,0.0,4.01,0.644
2018-05-04,0.0,5.16,0.613
2018-05-05,0.0,4.67,0.586
2018-05-06,0.14,4.51,0.558
2018-05-07,0.0,4.31,0.541
2018-05-08,0.0,3.58,0.536
2018-05-09,0.0,2.21,0.553
2018-05-10,0.32,3.72,0.506
2018-05-11,0.0,2.89,0.536
2018-05-12,3.33,0.81,0.68
2018-05-13,0.0,0.69,0.559
2018-05-14,0.0,3.13,0.571
2018-05-15,0.0,1.39,0.552
2018-05-16,0.0,3.89,0.538
2018-05-17,0.0,3.76,0.521
2018-05-18,0.0,0.95,0.54
2018-05-19,0.13,4.25,0.551
2018-05-20,3.91,3.3,0.546
2018-05-21,0.34,3.73,0.817
2018-05-22,7.21,1.31,0.824
2018-05-23,1.28,2.38,1.57
2018-05-24,0.0,3.4,0.68
2018-05-25,0.03,5.55,0.514
2018-05-26,0.78,3.12,0.458
2018-05-27,0.0,4.77,0.418
2018-05-28,1.02,1.73,0.4
2018-05-29,0.0,3.76,0.425
2018-05-30,10.77,2.26,0.591
2018-05-31,4.08,0.28,2.09
2018-06-01,0.0,1.44,0.63
2018-06-02,0.0,4.03,0.479
2018-06-03,,2.29,0.43
2018-06-04,0.0,1.52,0.419
2018-06-05,0.0,4.31,0.41
2018-06-06,2.76,2.76,0.571
2018-06-07,0.0,3.43,0.432
2018-06-08,0.0,1.56,0.374
2018-06-09,0.0,3.9,0.385
2018-06-10,0.0,4.01,0.372
2018-06-11,0.0,2.18,0.367
2018-06-12,0.0,3.21,0.374
2018-06-13,0.03,1.63,0.383
2018-06-14,0.0,4.26,0.381
2018-06-15,0.0,3.28,0.36
2018-06-16,0.0,2.13,0.326
2018-06-17,0.0,1.62,0.371
2018-06-18,0.0,1.09,0.349
2018-06-19,0.0,3.58,0.35
2018-06-20,0.0,4.15,0.342
2018-06-21,0.0,5.35,0.326
2018-06-22,0.0,4.17,0.32
2018-06-23,0.0,4.5,0.316
2018-06-24,0.0,4.85,0.322
2018-06-25,0.0,5.54,0.308
2018-06-26,0.0,5.42,0.305
2018-06-27,0.0,6.62,0.286
2018-06-28,0.0,6.12,0.268
2018-06-29,0.0,6.25,0.271
2018-06-30,0.0,7.97,0.27
2018-07-01,0.0,7.98,0.232
2018-07-02,0.0,5.64,0.245
2018-07-03,0.09,4.6,0.255
2018-07-04,0.0,5.13,0.261
2018-07-05,0.0,3.73,0.214
2018-07-06,0.0,4.32,0.212
2018-07-07,0.0,5.69,0.21
2018-07-08,0.0,4.19,0.201
2018-07-09,0.17,1.57,0.209
2018-07-10,0.0,3.44,0.22
2018-07-11,0.0,4.6,0.228
2018-07-12,0.0,3.12,0.205
2018-07-13,0.0,4.71,0.207
2018-07-14,0.0,4.8,0.191
2018-07-15,11.9,2.75,0.249
2018-07-16,0.0,3.36,0.247
2018-07-17,0.0,2.75,0.172
2018-07-18,0.0,4.09,0.168
2018-07-19,0.72,0.89,0.156
2018-07-20,0.0,3.83,0.192
2018-07-21,0.0,2.95,0.177
2018-07-22,0.0,3.96,0.165
2018-07-23,0.0,3.62,0.151
2018-07-24,2.05,4.43,0.762
2018-07-25,0.0,3.64,0.201
2018-07-26,0.18,2.75,0.198
2018-07-27,3.1,3.15,0.272
2018-07-28,0.0,3.47,0.175
2018-07-29,0.0,2.4,0.16
2018-07-30,0.0,3.42,0.162
2018-07-31,0.0,4.07,0.151
2018-08-01,0.0,2.4,0.144
2018-08-02,0.0,1.45,0.141
2018-08-03,0.0,4.03,0.141
2018-08-04,0.0,4.67,0.14
2018-08-05,0.0,4.15,0.136
2018-08-06,6.15,3.54,0.153
2018-08-07,4.94,2.64,0.581
2018-08-08,17.48,0.52,0.685
2018-08-09,5.89,2.23,0.458
2018-08-10,0.0,3.11,0.437
2018-08-11,0.23,4.25,0.17
2018-08-12,20.63,0.91,0.526
2018-08-13,0.0,1.73,0.346
2018-08-14,0.0,1.31,0.186
2018-08-15,11.21,3.05,0.216
2018-08-16,5.73,2.8,0.929
2018-08-17,0.0,1.42,0.234
2018-08-18,0.0,2.44,0.206
2018-08-19,0.0,1.3,0.195
2018-08-20,0.0,2.27,0.196
2018-08-21,0.0,1.83,0.19
2018-08-22,0.06,1.42,0.187
2018-08-23,2.33,1.78,0.187
2018-08-24,1.77,1.58,0.334
2018-08-25,3.28,1.24,0.199
2018-08-26,0.72,1.07,0.328
2018-08-27,0.0,1.86,0.222
2018-08-28,10.18,0.2,0.348
2018-08-29,0.0,1.52,0.355
2018-08-30,0.0,2.54,0.207
2018-08-31,0.0,2.72,0.19
2018-09-01,0.0,2.97,0.186
2018-09-02,0.0,1.37,0.185
2018-09-03,0.29,1.31,0.196
2018-09-04,0.16,0.86,0.202
2018-09-05,2.14,1.39,0.209
2018-09-06,2.61,2.13,0.322
2018-09-07,0.0,1.36,0.188
2018-09-08,0.0,2.18,0.213
2018-09-09,0.0,1.67,0.169
2018-09-10,0.0,1.95,0.165
2018-09-11,0.87,0.45,0.15
2018-09-12,0.08,1.82,0.179
2018-09-13,0.0,0.91,0.179
2018-09-14,0.0,1.33,0.17
2018-09-15,0.0,1.66,0.166
2018-09-16,0.0,1.84,0.16
2018-09-17,0.0,0.26,0.155
2018-09-18,0.0,1.370978386809269,0.163
2018-09-19,0.0,0.68,0.166
2018-09-20,4.53,1.63,0.321
2018-09-21,4.83,0.22,0.241
2018-09-22,22.7,0.3,1.37
2018-09-23,0.1,1.27,0.539
2018-09-24,0.0,1.27,0.159
2018-09-25,0.0,1.19,0.197
2018-09-26,0.0,1.25,0.202
2018-09-27,0.0,1.33,0.213
2018-09-28,0.0,1.24,0.249
2018-09-29,0.19,1.05,0.203
2018-09-30,3.49,0.98,0.253
2018-10-01,1.49,0.39,0.274
2018-10-02,0.0,1.09,0.249
2018-10-03,0.0,0.51,0.202
2018-10-04,0.0,0.86,0.214
2018-10-05,0.81,0.8,0.216
2018-10-06,0.24,1.59,0.278
2018-10-07,0.0,0.71,0.218
2018-10-08,0.0,0.56,0.211
2018-10-09,0.0,0.67,0.227
2018-10-10,6.6,0.88,0.233
2018-10-11,0.0,0.7,0.644
2018-10-12,0.0,0.78,0.234
2018-10-13,0.0,1.14,0.199
2018-10-14,0.0,1.1,0.209
2018-10-15,0.0,0.63,0.199
2018-10-16,0.0,0.26,0.21
2018-10-17,0.0,0.84,0.221
2018-10-18,0.0,0.54,0.239
2018-10-19,0.0,0.39,0.237
2018-10-20,0.0,0.4,0.214
2018-10-21,1.28,0.94,0.238
2018-10-22,0.0,0.38,0.238
2018-10-23,0.0,0.33,0.242
2018-10-24,0.0,0.33,0.257
2018-10-25,1.05,0.24,0.32
2018-10-26,5.06,0.23,0.415
2018-10-27,0.0,0.67,0.276
2018-10-28,0.0,0.42,0.266
2018-10-29,27.82,0.03,2.0
2018-10-30,0.18,0.13,0.572
2018-10-31,1.22,0.53,0.319
2018-11-01,0.09,0.07,0.322
2018-11-02,0.04,0.29,0.282
2018-11-03,0.0,0.23,0.275
2018-11-04,0.0,0.16,0.278
2018-11-05,0.0,0.64,0.308
2018-11-06,2.38,0.0,0.328
2018-11-07,0.05,0.0,0.353
2018-11-08,0.0,0.15,0.324
2018-11-09,5.02,0.0,0.573
2018-11-10,2.46,0.02,0.564
2018-11-11,11.29,0.0,1.23
2018-11-12,0.0,0.0,0.508
2018-11-13,0.0,0.0,0.36
2018-11-14,0.0,0.08,0.35
2018-11-15,0.03,0.09,0.344
2018-11-16,0.0,0.27,0.352
2018-11-17,0.0,0.68,0.333
2018-11-18,1.69,0.47,0.355
2018-11-19,0.17,0.84,0.317
2018-11-20,0.0,0.04,0.34
2018-11-21,0.0,0.07,0.383
2018-11-22,0.36,0.08,0.339
2018-11-23,6.15,0.1,0.403
2018-11-24,0.0,0.11,0.565
2018-11-25,2.25,0.08,0.401
2018-11-26,0.72,0.03,0.392
2018-11-27,4.48,0.0,0.578
2018-11-28,3.82,0.07,0.679
2018-11-29,0.0,0.0,0.426
2018-11-30,3.02,0.0,0.46
2018-12-01,9.63,0.0,1.24
2018-12-02,7.22,0.0,1.3
2018-12-03,0.15,0.0,0.549
2018-12-04,2.31,0.04,0.477
2018-12-05,1.59,0.0,0.572
2018-12-06,7.37,0.0,1.04
2018-12-07,6.63,0.42,0.994
2018-12-08,1.31,0.24,1.12
2018-12-09,0.07,0.0,0.575
2018-12-10,0.0,0.14,0.507
2018-12-11,0.0,0.0,0.456
2018-12-12,0.08,0.0,0.444
2018-12-13,0.0,0.08,0.42
2018-12-14,4.7,0.31,0.429
2018-12-15,1.5,0.1,0.768
2018-12-16,1.18,0.0,0.566
2018-12-17,0.0,0.53,0.478
2018-12-18,2.01,0.0,0.509
2018-12-19,1.42,0.0,0.497
2018-12-20,14.36,0.26,1.97
2018-12-21,1.57,0.0,0.919
2018-12-22,5.17,0.0,0.868
2018-12-23,0.28,0.0,1.03
2018-12-24,0.04,0.0,0.674
2018-12-25,0.1,0.02,0.592
2018-12-26,0.0,0.13,0.554
2018-12-27,0.04,0.14,0.515
2018-12-28,0.31,0.0,0.492
2018-12-29,0.56,0.12,0.482
2018-12-30,0.38,0.0,0.503
2018-12-31,0.24,0.0,0.486
2019-01-01,0.0,0.17,0.468
2019-01-02,0.26,0.0,0.448
2019-01-03,0.51,0.16,0.448
2019-01-04,0.74,0.0,0.48
2019-01-05,0.0,0.03,0.477
2019-01-06,2.18,0.07,0.453
2019-01-07,1.58,0.18,0.6
2019-01-08,1.81,0.04,0.749
2019-01-09,0.81,0.03,0.577
2019-01-10,3.44,0.0,0.693
2019-01-11,0.47,0.0,0.64
2019-01-12,4.58,0.0,0.936
2019-01-13,0.31,0.16,0.838
2019-01-14,0.62,0.15,0.679
2019-01-15,0.71,0.22,0.66
2019-01-16,9.15,0.02,0.909
2019-01-17,0.86,0.0,1.27
2019-01-18,0.09,0.0,0.858
2019-01-19,0.04,0.0,0.699
2019-01-20,0.08,0.02,0.612
2019-01-21,1.71,0.28,0.593
2019-01-22,4.04,0.0,0.636
2019-01-23,0.0,0.16,0.59
2019-01-24,1.86,0.4,0.638
2019-01-25,3.19,0.0,0.966
2019-01-26,9.64,0.0,1.57
2019-01-27,11.92,0.04,3.58
2019-01-28,0.0,0.31,1.95
2019-01-29,7.93,0.0,1.55
2019-01-30,0.21,0.13,1.24
2019-01-31,5.74,0.37,1.27
2019-02-01,16.34,0.12,3.89
2019-02-02,1.96,0.0,3.18
2019-02-03,4.95,0.17,1.93
2019-02-04,0.07,0.16,1.78
2019-02-05,4.49,0.11,1.42
2019-02-06,4.26,0.48,2.87
2019-02-07,4.5,0.39,1.82
2019-02-08,4.56,0.71,2.58
2019-02-09,12.35,0.0,4.21
2019-02-10,0.0,0.25,2.78
2019-02-11,0.03,0.46,1.67
2019-02-12,0.0,0.59,1.38
2019-02-13,0.05,0.5,1.2
2019-02-14,0.0,0.78,1.11
2019-02-15,0.0,0.48,1.0
2019-02-16,0.0,1.02,0.97
2019-02-17,0.04,0.83,0.871
2019-02-18,0.0,0.36,0.846
2019-02-19,0.0,0.53,0.805
2019-02-20,0.0,0.73,0.764
2019-02-21,0.0,0.35,0.735
2019-02-22,0.0,0.63,0.718
2019-02-23,0.0,0.78,0.699
2019-02-24,0.0,0.97,0.676
2019-02-25,0.0,0.98,0.665
2019-02-26,0.0,0.96,0.668
2019-02-27,2.5,0.37,0.681
2019-02-28,8.66,0.15,1.22
2019-03-01,0.0,0.29,0.833
2019-03-02,1.61,0.53,0.88
2019-03-03,3.76,1.29,1.08
2019-03-04,1.74,1.0,0.947
2019-03-05,1.14,0.03,0.915
2019-03-06,13.64,1.0,3.7
2019-03-07,1.98,0.97,1.97
2019-03-08,0.84,0.96,1.56
2019-03-09,11.39,0.94,2.66
2019-03-10,0.0,1.17,1.97
2019-03-11,1.42,1.87,1.47
2019-03-12,0.94,1.09,1.39
2019-03-13,19.03,0.23,3.57
2019-03-14,8.76,0.12,3.88
2019-03-15,4.4,1.17,3.95
2019-03-16,4.95,1.25,2.27
2019-03-17,0.0,0.88,2.19
2019-03-18,0.04,1.17,1.62
2019-03-19,0.0,1.21,1.37
2019-03-20,0.0,0.92,1.23
2019-03-21,0.0,1.69,1.13
2019-03-22,0.0,0.82,1.01
2019-03-23,0.0,2.1,0.953
2019-03-24,0.0,1.76,0.893
2019-03-25,0.0,1.52,0.829
2019-03-26,0.0,1.6,0.787
2019-03-27,0.0,0.98,0.758
2019-03-28,0.0,2.32,0.75
2019-03-29,0.0,2.39,0.742
2019-03-30,0.12,2.12,0.802
2019-03-31,0.0,2.72,0.711
2019-04-01,9.62,1.12,1.15
2019-04-02,0.31,1.54,1.0
2019-04-03,0.0,2.04,0.761
2019-04-04,0.0,2.59,0.726
2019-04-05,0.0,1.98,0.699
2019-04-06,0.25,1.42,0.85
2019-04-07,0.17,0.34,0.712
2019-04-08,8.28,0.17,1.06
2019-04-09,0.0,3.3,0.951
2019-04-10,0.0,3.15,0.748
2019-04-11,0.0,2.33,0.689
2019-04-12,0.0,2.29,0.675
2019-04-13,0.0,1.37,0.654
2019-04-14,0.0,3.46,0.647
2019-04-15,0.0,2.3,0.64
2019-04-16,0.0,1.67,0.624
2019-04-17,0.0,4.76,0.605
2019-04-18,0.0,4.68,0.583
2019-04-19,0.0,4.99,0.571
2019-04-20,0.0,4.32,0.568
2019-04-21,0.0,4.23,0.571
2019-04-22,0.0,3.68,0.571
2019-04-23,0.0,3.17,0.563
2019-04-24,6.8,0.9,0.661
2019-04-25,0.0,2.09,0.612
2019-04-26,1.67,1.8,0.614
2019-04-27,11.22,0.53,0.82
2019-04-28,0.0,2.58,0.598
2019-04-29,0.0,1.23,0.557
2019-04-30,0.0,2.25,0.567
2019-05-01,2.06,0.82,0.606
2019-05-02,2.04,1.39,0.589
2019-05-03,6.95,1.94,1.02
2019-05-04,0.35,2.5,0.613
2019-05-05,0.05,1.34,0.543
2019-05-06,0.0,2.31,0.532
2019-05-07,3.03,1.31,0.616
2019-05-08,2.05,1.33,0.712
2019-05-09,4.53,1.81,0.854
2019-05-10,0.0,3.59,0.557
2019-05-11,0.0,3.33,0.49
2019-05-12,0.0,4.91,0.468
2019-05-13,0.0,5.22,0.459
2019-05-14,0.0,5.12,0.452
2019-05-15,0.0,4.36,0.45
2019-05-16,0.8,1.29,0.435
2019-05-17,0.0,2.65,0.461
2019-05-18,1.69,0.71,0.463
2019-05-19,0.79,0.41,0.49
2019-05-20,0.0,3.38,0.465
2019-05-21,0.0,2.93,0.433
2019-05-22,0.0,3.26,0.423
2019-05-23,0.0,4.02,0.422
2019-05-24,2.09,2.41,0.699
2019-05-25,1.14,2.43,0.483
2019-05-26,3.06,2.79,0.592
2019-05-27,5.09,1.44,0.701
2019-05-28,0.12,3.03,0.529
2019-05-29,0.32,2.28,0.469
2019-05-30,0.0,2.43,0.292
2019-05-31,0.0,4.04,0.391
2019-06-01,0.0,5.09,0.365
2019-06-02,0.0,1.68,0.361
2019-06-03,3.7,2.14,0.393
2019-06-04,11.64,1.01,0.498
2019-06-05,1.36,2.95,1.07
2019-06-06,1.75,2.59,0.398
2019-06-07,0.67,3.02,0.486
2019-06-08,0.0,2.51,0.421
2019-06-09,0.94,1.67,0.409
2019-06-10,0.0,3.43,0.414
2019-06-11,23.32,0.86,1.37
2019-06-12,1.6,1.32,0.699
2019-06-13,0.0,4.58,0.52
2019-06-14,27.08,3.2,4.95
2019-06-15,2.29,2.83,1.29
2019-06-16,0.0,4.65,0.672
2019-06-17,0.0,4.34,0.506
2019-06-18,11.21,1.49,0.99
2019-06-19,0.0,3.13,0.752
2019-06-20,0.0,3.87,0.433
2019-06-21,0.0,4.69,0.391
2019-06-22,0.0,5.17,0.359
2019-06-23,0.0,4.31,0.331
2019-06-24,0.0,4.15,0.304
2019-06-25,0.0,4.0,0.286
2019-06-26,0.0,5.73,0.277
2019-06-27,0.0,5.56,0.268
2019-06-28,0.0,5.09,0.255
2019-06-29,0.0,3.34,0.269
2019-06-30,0.0,3.85,0.266
2019-07-01,0.0,3.43,0.239
2019-07-02,0.0,3.85,0.265
2019-07-03,0.0,4.83,0.291
2019-07-04,0.0,4.38,0.293
2019-07-05,0.0,4.04,0.303
2019-07-06,0.0,2.56,0.322
2019-07-07,0.0,3.09,0.311
2019-07-08,0.0,3.46,0.307
2019-07-09,0.05,2.5,0.322
2019-07-10,0.0,2.8,0.31
2019-07-11,0.53,3.01,0.333
2019-07-12,0.34,2.05,0.36
2019-07-13,0.07,2.6,0.323
2019-07-14,0.03,1.9,0.311
2019-07-15,0.1,2.72,0.277
2019-07-16,0.03,3.84,0.261
2019-07-17,0.06,1.68,0.262
2019-07-18,0.03,2.83,0.252
2019-07-19,12.48,3.1,0.529
2019-07-20,0.0,3.16,0.247
2019-07-21,0.0,4.11,0.174
2019-07-22,0.0,5.02,0.168
2019-07-23,0.13,4.6,0.252
2019-07-24,0.1,5.24,0.11
2019-07-25,0.09,4.0,0.077
2019-07-26,10.08,0.27,0.658
2019-07-27,0.03,0.66,0.476
2019-07-28,0.03,3.99,0.205
2019-07-29,0.0,3.96,0.176
2019-07-30,0.96,1.5,0.148
2019-07-31,0.06,2.88,0.141
2019-08-01,0.51,2.99,0.188
2019-08-02,0.07,1.93,0.178
2019-08-03,0.22,3.09,0.165
2019-08-04,1.27,3.12,0.162
2019-08-05,0.06,2.43,0.164
2019-08-06,1.12,3.23,0.157
2019-08-07,0.0,2.76,0.151
2019-08-08,4.99,1.66,0.273
2019-08-09,0.98,2.7,0.201
2019-08-10,0.0,1.75,0.154
2019-08-11,9.24,1.59,0.284
2019-08-12,3.04,1.83,0.485
2019-08-13,4.18,1.93,0.225
2019-08-14,0.12,1.11,0.378
2019-08-15,0.2,2.24,0.192
2019-08-16,1.27,0.62,0.197
2019-08-17,7.55,1.46,0.556
2019-08-18,0.18,2.64,0.216
2019-08-19,0.0,2.72,0.2
2019-08-20,0.0,3.43,0.153
2019-08-21,0.0,3.73,0.151
2019-08-22,0.0,3.66,0.146
2019-08-23,0.0,4.14,0.175
2019-08-24,0.0,4.02,0.141
2019-08-25,0.0,3.71,0.123
2019-08-26,0.0,3.61,0.121
2019-08-27,7.32,2.33,0.357
